Id_AFAD,Year,Month,Day,Hour,Min,Sec,Ev_Lat,Ev_Lon,Ev_Depth,Ml,StdMl,Rms,Erh,Erz,Gap,Np,Ns,Ntot,CovX,CovY,CovZ,CovT
431485,2019,2,19,18,39,42.69,37.5138,35.5867,15.51,3,0.3,0.26,1.1,0.9,73,18,15,33,0.3,0.8,0.7,1.1
431598,2019,2,20,13,56,40.26,37.5928,38.4778,4.01,3.13,0.19,0.13,1.2,0.7,99,8,7,15,0.4,1,0.5,1.1
431657,2019,2,20,21,27,17.11,37.5012,35.6767,19.1,2.5,0.22,0.18,1.9,1,87,13,9,22,1.6,2,1.1,2.8
431667,2019,2,20,21,55,54.03,39.3693,40.005,11.33,2.66,0.2,0.17,1.1,1.5,90,13,10,23,0.3,0.9,2.4,2.6
431866,2019,2,22,18,0,59.52,38.2998,38.8093,2,3.77,0.2,0.23,1,1.5,63,17,14,31,0.6,0.4,2.3,2.4
431891,2019,2,23,2,41,14.55,37.6082,38.5152,3.64,3.42,0.18,0.23,1,0.4,95,9,9,18,0.2,0.8,0.2,0.8
431896,2019,2,23,6,24,35.02,37.5307,35.5795,11.26,2.75,0.23,0.29,1.1,2.2,96,16,16,32,0.3,1,4.9,5
432011,2019,2,25,1,1,35.53,37.4898,35.6767,16.72,2.56,0.29,0.26,1.3,2,103,17,12,29,0.3,1.4,3.9,4.2
432012,2019,2,25,1,2,46.76,37.5138,35.6678,11.06,2.41,0.18,0.23,0.9,2.9,89,14,9,23,0.3,0.5,8.2,8.2
432376,2019,3,3,12,57,19.4,37.487,35.6873,11.13,2.87,0.2,0.19,0.9,1,84,13,10,23,0.3,0.5,1.1,1.2
432590,2019,3,6,22,30,29.18,36.988,36.07,3.98,3.56,0.2,0.35,1,1.4,43,27,22,49,0.4,0.6,2,2.1
432605,2019,3,7,1,53,8.18,39.1825,40.7825,16.35,2.47,0.27,0.16,0.7,0.8,61,14,12,26,0.2,0.3,0.6,0.7
432888,2019,3,11,12,39,59.56,37.7162,37.4207,7.99,3.06,0.12,0.26,1.5,3.6,79,14,10,24,1,1.2,13.1,13.2
432889,2019,3,11,12,52,29.21,37.7107,37.4312,6.01,2.91,0.11,0.18,1,2.7,109,15,9,24,0.5,0.6,7.3,7.4
432898,2019,3,11,15,29,24.82,37.7133,37.4242,16.01,2.95,0.14,0.18,0.8,2.1,91,12,11,23,0.3,0.4,4.5,4.5
432921,2019,3,12,0,13,12.32,37.7133,37.4205,7.99,3.27,0.19,0.26,1,1.5,65,23,8,31,0.3,0.7,2.3,2.4
432937,2019,3,12,7,10,51.47,37.719,37.4242,6.36,3.19,0.2,0.24,2.5,2.8,70,14,11,25,3.3,3.1,8,9.2
433011,2019,3,13,11,59,31.65,38.727,39.9565,15.86,3.59,0.19,0.22,0.8,0.8,95,16,12,28,0.2,0.4,0.6,0.8
433215,2019,3,16,9,3,2.71,37.0737,36.0155,24.24,2.7,0.21,0.33,1.1,1.3,51,18,14,32,0.7,0.5,1.7,1.9
433977,2019,3,21,3,48,45.28,38.7523,38.1437,25.36,3.44,0.21,0.2,1,1.5,67,13,8,21,0.4,0.6,2.1,2.2
433997,2019,3,21,4,46,3.81,38.7565,38.1418,22.22,3.93,0.2,0.19,1,1.7,66,13,9,22,0.5,0.6,2.9,3
434021,2019,3,21,5,25,32.41,38.7523,38.1402,22.24,4.11,0.39,0.25,0.9,1.6,67,14,12,26,0.3,0.4,2.4,2.5
434006,2019,3,21,5,51,7.79,38.7552,38.1402,20.01,4.4,0.27,0.21,0.8,1.8,66,15,11,26,0.3,0.3,3.2,3.2
434325,2019,3,21,20,36,43.43,39.4158,40.4585,19.02,3.22,0.38,0.26,1.1,1.1,127,14,13,27,0.5,0.7,1.1,1.4
434329,2019,3,21,20,56,3.88,38.7608,38.1365,19.52,3.17,0.24,0.3,1.1,3,66,12,13,25,0.6,0.5,8.8,8.8
434433,2019,3,22,1,36,8.82,38.7412,38.1438,25.36,3.41,0.18,0.23,1.2,1.6,68,14,11,25,0.8,0.7,2.4,2.6
434553,2019,3,22,10,4,7.55,37.2552,36.8982,6.31,4.05,0.22,0.34,1.2,0.6,54,27,19,46,0.8,0.6,0.4,1.1
434655,2019,3,23,0,21,32.7,39.6575,38.0378,14.27,3.64,0.26,0.23,1.1,2.9,134,13,9,22,0.7,0.5,8.6,8.7
434853,2019,3,24,1,32,28.77,38.7608,38.14,25.36,3.6,0.17,0.16,1,1.3,66,14,9,23,0.4,0.5,1.8,1.9
434934,2019,3,24,13,41,4.91,37.4828,35.862,23.13,3.57,0.2,0.37,0.8,0.7,67,27,18,45,0.2,0.4,0.5,0.7
434972,2019,3,24,20,59,33.58,37.4772,35.869,23.18,3.1,0.13,0.37,1,0.6,66,25,20,45,0.4,0.7,0.4,0.9
434976,2019,3,24,22,35,30.48,37.4743,35.869,25.06,3.56,0.21,0.29,0.9,0.9,66,31,17,48,0.3,0.5,0.8,0.9
434978,2019,3,24,22,41,22.19,37.4645,35.8708,24,3.16,0.19,0.26,1,0.8,65,27,17,44,0.3,0.7,0.6,1
435078,2019,3,25,11,29,23.38,38.7608,38.1472,15.81,4.89,0.24,0.22,0.9,0.5,66,15,11,26,0.5,0.4,0.3,0.7
435135,2019,3,25,13,53,0.89,38.7397,38.1133,25.09,3.9,0.34,0.25,1.2,2.4,67,9,10,19,0.8,0.7,5.6,5.7
435217,2019,3,26,1,5,57.7,38.7438,38.1438,19.02,3.63,0.27,0.15,0.9,1.3,68,12,9,21,0.4,0.4,1.8,1.9
435424,2019,3,27,0,29,17.09,38.786,38.1253,19.87,4.06,0.25,0.23,0.8,1.5,63,15,10,25,0.4,0.3,2.3,2.3
435425,2019,3,27,0,31,28.05,38.7888,38.1288,22.19,3.57,0.27,0.2,1,1.6,63,14,10,24,0.5,0.4,2.7,2.8
435556,2019,3,27,21,11,39.34,38.7523,38.1365,16.2,2.79,0.17,0.25,1,2.3,67,11,11,22,0.5,0.5,5.3,5.4
435586,2019,3,28,3,32,54.35,38.7622,38.1418,22.22,3.56,0.16,0.21,1,1.2,66,14,12,26,0.5,0.6,1.5,1.7
435605,2019,3,28,4,19,22.07,38.7818,38.138,19.99,4.26,0.31,0.22,0.9,1.5,64,14,11,25,0.3,0.5,2.2,2.3
435666,2019,3,28,11,28,24.16,38.786,38.1433,19.27,3.52,0.2,0.18,1,1.1,64,12,11,23,0.3,0.7,1.2,1.4
435751,2019,3,28,23,32,18.78,38.7805,38.1433,21.2,2.9,0.31,0.22,1.1,1.5,64,11,9,20,0.4,0.8,2.4,2.5
435892,2019,3,30,1,18,54.66,37.7247,35.3952,9.52,2.75,0.23,0.23,0.9,1.1,44,16,17,33,0.3,0.5,1.2,1.4
436177,2019,4,1,8,43,13.61,38.7917,38.154,12.69,3.17,0.22,0.33,1.6,4.1,64,11,11,22,1.2,1.4,16.7,16.8
436287,2019,4,2,6,49,35.22,37.3408,36.3223,16.08,2.71,0.24,0.37,1,0.9,93,13,14,27,0.6,0.5,0.8,1.1
436471,2019,4,3,20,6,58.97,37.4632,35.8727,24.91,2.54,0.17,0.23,0.8,0.8,72,17,15,32,0.3,0.4,0.6,0.8
436474,2019,4,3,21,51,58.21,38.3685,36.241,13.63,2.49,0.11,0.23,1.1,1.2,58,16,12,28,0.6,0.6,1.4,1.6
436489,2019,4,4,2,20,23.49,38.7692,38.1398,22.19,3.31,0.18,0.22,1.1,1.2,65,12,10,22,0.4,0.8,1.5,1.8
436571,2019,4,4,17,31,8.1,38.4543,39.149,22.44,5.21,0.3,0.41,1.5,0.9,86,16,9,25,1,1.3,0.7,1.8
436575,2019,4,4,17,55,42.06,38.4038,39.1062,7.69,3.17,0.26,0.24,1.6,2,77,14,7,21,0.9,1.7,4,4.4
436590,2019,4,4,18,58,54.53,38.4122,39.0953,8.04,3.08,0.29,0.3,1.2,1.9,72,13,10,23,0.7,0.7,3.7,3.8
436710,2019,4,5,12,11,22.57,37.5222,36.0632,9.23,3.18,0.17,0.23,0.6,0.9,55,21,9,30,0.1,0.2,0.8,0.8
436712,2019,4,5,13,33,40.5,38.4263,39.106,6.46,2.94,0.2,0.22,1.1,1.9,71,12,9,21,0.5,0.7,3.4,3.5
436855,2019,4,7,17,47,8.85,38.7663,38.1363,22.19,3.63,0.4,0.23,1,0.8,103,10,8,18,0.5,0.6,0.6,0.9
436903,2019,4,8,2,23,33.08,38.3995,39.0613,8.91,3.07,0.16,0.24,1.2,1,72,12,12,24,0.8,0.8,1,1.4
